rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
19,dvolovenko,60,10,0.7076636446549344,0.27598663123196215,0.08727463584499626,0.6678852056631683,0.43015581369400024,1.2422517538070679,1,9,0
19,dvolovenko,120,10,0.692071316940968,0.259335968521261,0.08200923397329136,0.6676680659422516,0.42658039927482605,1.205934762954712,1,9,0
19,dvolovenko,180,10,0.6023890922201877,0.1992606677912231,0.06301175583064177,0.5634036649699012,0.41932135820388794,1.0058128833770752,3,7,0
19,dvolovenko,240,10,0.552775091046579,0.21196359353545496,0.06702877366061799,0.5040377668279996,0.23990300635985962,0.9812259987939002,10,0,0
20,angel,15,10,3.2073075413703918,1.1643977131976682,0.36821488759961335,3.990443468093872,1.3416450023651123,4.215408802032471,0,10,0
20,angel,30,10,2.5082394540309907,1.1041467456656544,0.3491618587366116,2.361206889152527,0.455685555934906,4.117616176605225,0,10,0
20,angel,60,10,1.5514780759811402,0.9748322650249887,0.30826902940998624,1.5565223097801208,0.20102998614311218,3.354001045227051,0,10,0
20,angel,120,10,1.0477670937776566,0.73179463210803,0.23141378169463608,0.7573615610599518,0.17909333109855652,2.297280788421631,0,10,0
20,angel,180,10,0.7398893177509308,0.5951048120032474,0.18818866524565722,0.5228530168533325,0.1726299524307251,2.297280788421631,0,10,0
20,angel,240,10,0.5601590506660379,0.23025601847788982,0.07281334633519485,0.47663422162914093,0.16883591226965233,0.9238272172596075,10,0,0
21,jannatsamadov,15,10,2.352908784151077,1.208447162445697,0.38214454652958957,1.9413148164749146,0.7236284613609314,4.485362529754639,0,10,0
21,jannatsamadov,30,10,1.6791513383388519,0.7582317224429976,0.23977392371124825,1.5794784426689148,0.5533851385116577,2.9534196853637695,0,10,0
21,jannatsamadov,60,10,1.257401653862502,0.763344213288437,0.2413906352700831,1.1303155856157625,0.53605055809021,2.9534196853637695,1,9,0
21,jannatsamadov,120,10,0.8193953223201191,0.4555971743507372,0.14407247664851744,0.5699181258678436,0.41538314724501263,1.8038713932037354,4,6,0
21,jannatsamadov,180,10,0.7821819044589395,0.48037218262438036,0.15190702216794028,0.5111279935970101,0.35983094573020935,1.7913926839828491,5,5,0
21,jannatsamadov,240,10,0.5687639006291902,0.2713535056393408,0.08580951288916618,0.4671249663130109,0.3132273019375542,1.097983298669102,10,0,0
22,aniketnegi,15,10,2.444182592630386,1.2845684761535086,0.40621621950967773,1.9552642703056335,0.75533527135849,4.437162399291992,0,10,0
22,aniketnegi,30,10,1.6755827784538269,1.1401746292928305,0.3605548758903481,1.6104770302772522,0.2242947220802307,4.437162399291992,0,10,0
